number,cmp_id,case_study,category,entity_id,map_url,cmp_url
1,2200002,"Alberta Chamber of Resources",Legitimator,282986,https://littlesis.org/maps/4160-alberta-chamber-of-resources?Alberta_Chamber_of_Resources,http://www.corporatemapping.ca/profiles/alberta-chamber-of-resources/
2,2100002,"Canada West Foundation",Legitimator,87219,https://littlesis.org/maps/3606-canada-west-foundation?Canada_West_Foundation,
3,,"Alberta Energy Regulator",Enabler,347609,,http://www.corporatemapping.ca/profiles/alberta-energy-regulator/
4,5000011,"Arc Resources",Emitter,283077,https://littlesis.org/maps/3575-arc-resources,http://www.corporatemapping.ca/profiles/arc-resources/
5,5000017,ATCO,Emitter,220987,https://littlesis.org/maps/3557-atco?Explore_the_ATCO_Network,http://www.corporatemapping.ca/profiles/atco/
6,5014210,"Bank of Montreal",Enabler,50873,https://littlesis.org/maps/3627-bank-of-montreal,http://www.corporatemapping.ca/profiles/the-bank-of-montreal/
7,5014211,"Bank of Nova Scotia",Enabler,78726,,http://www.corporatemapping.ca/profiles/bank-of-nova-scotia/
8,,"BC Oil and Gas Commission",Enabler,347610,https://littlesis.org/maps/3647-bc-oil-and-gas-commission?Click_%27Next%27_to_learn_more.,https://www.corporatemapping.ca/?post_type=profiles&p=1913&preview=true
9,2300004,"Business Council Of British Columbia",Legitimator,283006,https://littlesis.org/maps/3636-business-council-of-british-columbia?Business_Council_of_British_Columbia_,http://www.corporatemapping.ca/profiles/the-business-cou…british-columbia/
10,2300011,"Business Council of Canada",Legitimator,283013,https://littlesis.org/maps/3635-business-council-of-canada?The_Business_Council_of_Canada_,http://www.corporatemapping.ca/profiles/business-council-of-canada/
11,2100004,"C.D. Howe Institute",Legitimator,87266,https://littlesis.org/maps/3980-cd-howe?CD_Howe_Institute,http://www.corporatemapping.ca/profiles/c-d-howe-institute/
12,,"C3 Alliance",Enabler,347611,,http://www.corporatemapping.ca/profiles/c3-alliance/
13,2300005,"Canada Action",Legitimator,283007,,http://www.corporatemapping.ca/profiles/canada-action/
14,2200009,"Canadian Association of Petroleum Producers",Legitimator,87449,https://littlesis.org/maps/3628-canadian-association-of-petroleum-producers?Click_%27Next%27_to_learn_more.,http://www.corporatemapping.ca/profiles/canadian-associa…roleum-producers/
15,2200010,"Canadian Energy Pipeline Association",Legitimator,203119,https://littlesis.org/maps/3492-canadian-energy-pipeline-association?Canadian_Energy_Pipeline_Association,http://www.corporatemapping.ca/profiles/canadian-energy-…line-association/
16,2200012,"Canadian Gas Association",Legitimator,282994,https://littlesis.org/maps/3549-canadian-gas-association?Canadian_Gas_Association,http://www.corporatemapping.ca/profiles/canadian-gas-association/
17,5014217,"Canadian Imperial Bank of Commerce",Enabler,119065,https://littlesis.org/maps/4154-canadian-imperial-bank-of-commerce-cibc,http://www.corporatemapping.ca/profiles/canadian-imperia…of-commerce-cibc/
18,5000043,"Canadian Natural Resources Limited",Emitter,118838,https://littlesis.org/maps/3618-canadian-natural-resources-limited?Canadian_Natural_Resources_Limited,http://www.corporatemapping.ca/profiles/canadian-natural-resources-ltd/
19,2200006,"Canada's Oil Sands Innovation Alliance",Legitimator,282990,https://littlesis.org/maps/3649/share/e98865ab893986958ed6?Canadian_Oil_Sands_Innovation_Alliance_(COSIA),http://www.corporatemapping.ca/profiles/canadas-oil-sand…n-alliance-cosia/
20,,"Canadian Pension Plan Investment Board",Enabler,347612,https://littlesis.org/maps/3559-canada-pension-plan-investment-board?Canada_Pension_Plan_Investment_Board,http://www.corporatemapping.ca/profiles/canada-pension-p…ment-board-cppib/
21,5000053,"Cenovus Energy",Emitter,90176,https://littlesis.org/maps/3550-cenovus-energy?Cenovus_Energy_Inc,http://www.corporatemapping.ca/profiles/cenovus-energy/
22,5000064,"Crescent Point Energy Corporation",Emitter,118845,https://littlesis.org/maps/3561-crescent-point-energy?Crescent_Point_Energy_,http://www.corporatemapping.ca/profiles/crescent-point-energy/
23,2400009,"Edwards School of Business",Legitimator,283026,https://littlesis.org/maps/3597-edwards-school-of-business?Edwards_School_of_Business_,http://www.corporatemapping.ca/profiles/edwards-school-of-business/
24,5000080,"Enbridge Inc",Emitter,89799,https://littlesis.org/maps/3524-enbridge?Canadian_Fossil_Fuel_Connections,http://www.corporatemapping.ca/profiles/enbridge/
25,5000082,"Encana Corporation",Emitter,87637,https://littlesis.org/maps/3526-encana-corporation?Encana_Corporation,http://www.corporatemapping.ca/profiles/encana/
26,,"Energy Council of Canada",Legitimator,347617,https://littlesis.org/maps/3645-energy-council-of-canada?Click_%27Next%27_to_learn_more.,http://www.corporatemapping.ca/profiles/the-energy-council-of-canada/
27,2100007,"Fraser Institute",Legitimator,89507,https://littlesis.org/maps/3499-fraser-institute?Fraser_Institute,http://www.corporatemapping.ca/profiles/fraser-institute/
28,5000100,"Gibson Energy Inc.",Emitter,147679,https://littlesis.org/maps/3495-gibson-energy,http://www.corporatemapping.ca/profiles/gibson-energy/
29,5000109,"Husky Energy Inc.",Emitter,283129,https://littlesis.org/maps/3512-husky-energy?Financial_Sector_Connections,http://www.corporatemapping.ca/profiles/husky-energy/
30,5000111,"Imperial Oil Limited",Emitter,87262,https://littlesis.org/maps/3511-imperial-oil?Imperial_Oil,http://www.corporatemapping.ca/profiles/imperial-oil/
31,,"Kinder Morgan Canada",Emitter,90711,https://littlesis.org/maps/4178-kinder-morgan-canada,http://www.corporatemapping.ca/profiles/kinder-morgan-canada/
32,,"LNG Canada",Emitter,328990,https://littlesis.org/maps/3664-lng-canada?LNG_Canada_,http://www.corporatemapping.ca/profiles/lng-canada/
33,2100009,"MacDonald-Laurier Institute",Legitimator,140216,https://littlesis.org/maps/3539-macdonald-laurier-institute?Macdonald-Laurier_Institute,http://www.corporatemapping.ca/profiles/macdonald-laurier-institute/
34,2100010,"Manning Centre for Building Democracy",Legitimator,282982,https://littlesis.org/maps/3548-manning-centre-for-building-democracy?Manning_Centre_for_Building_Democracy,http://www.corporatemapping.ca/profiles/manning-centre/
35,5000138,"MEG Energy Corp.",Emitter,283143,https://littlesis.org/maps/3505-meg-energy?MEG_Energy,http://www.corporatemapping.ca/profiles/meg-energy/
36,,"National Energy Board",Enabler,347618,,http://www.corporatemapping.ca/profiles/national-energy-board/ ‎
38,5000145,"Nexen Energy (CNOOC)",Emitter,79106,https://littlesis.org/maps/3503-nexen-inc?Nexen_Inc,http://www.corporatemapping.ca/profiles/cnooc-formerly-nexen/
37,5000170,"Pembina Pipeline Corporation",Emitter,119211,https://littlesis.org/maps/3510-pembina-pipeline-corporation?Pembina_Pipeline_Corporation,http://www.corporatemapping.ca/profiles/pembina-pipeline-corporation/
39,5014222,"Power Corporation of Canada",Enabler,33684,https://littlesis.org/maps/3527-power-corporation-of-canada,
40,,"Rebel Media",Legitimator,347619,,http://www.corporatemapping.ca/profiles/rebel-media/
41,2300016,"Resource Works",Legitimator,283018,https://littlesis.org/maps/3716-resource-works?Resource_Works,http://www.corporatemapping.ca/profiles/resource-works/
42,5014223,"Royal Bank of Canada",Enabler,76200,https://littlesis.org/maps/3529-royal-bank-of-canada?Royal_Bank_of_Canada_,http://www.corporatemapping.ca/profiles/royal-bank-of-canada/
43,5000202,"Shell Canada Ltd",Emitter,98710,https://littlesis.org/maps/3718-shell-canada-ltd-2/edit,http://www.corporatemapping.ca/profiles/shell-canada/
44,5000214,"Suncor Energy Inc",Emitter,119256,https://littlesis.org/maps/3482-suncor?Suncor_Energy_Inc,http://www.corporatemapping.ca/profiles/suncor-2/
45,5000221,"Teck Resources Limited",Emitter,87120,https://littlesis.org/maps/3541-teck-resources?Teck_Resources_,http://www.corporatemapping.ca/profiles/teck-resources/
46,5014226,"Toronto-Dominion Bank",Enabler,87291,https://littlesis.org/maps/3640-toronto-dominion-bank?Toronto_Dominion_Bank,http://www.corporatemapping.ca/profiles/toronto-dominion-bank/
47,5000233,"Tourmaline Oil Corporation",Emitter,118873,https://littlesis.org/maps/3555-tourmaline-oil-corporation?Explore_the_Tourmaline_Network,http://www.corporatemapping.ca/profiles/tourmaline-oil-corporation/
48,5000234,"TransAlta Corporation",Emitter,78743,https://littlesis.org/maps/3614-transalta,
49,5000237,"TransCanada Corporation",Emitter,78463,https://littlesis.org/maps/3735-transcanada-corporation,http://www.corporatemapping.ca/profiles/transcanada-corporation/
50,2400030,"University of Calgary",Legitimator,87267,https://littlesis.org/maps/3491-university-of-calgary,http://www.corporatemapping.ca/profiles/university-of-calgary/
